Currency,Rate,time_last_update_unix
USD,1.0,1697673752
AED,3.6725,1697673752
AFN,75.141801,1697673752
ALL,99.99418,1697673752
AMD,401.632338,1697673752
ANG,1.79,1697673752
AOA,837.097097,1697673752
ARS,350.03,1697673752
AUD,1.57667,1697673752
AWG,1.79,1697673752
AZN,1.701626,1697673752
BAM,1.855431,1697673752
BBD,2.0,1697673752
BDT,110.253268,1697673752
BGN,1.854978,1697673752
BHD,0.376,1697673752
BIF,2830.756977,1697673752
BMD,1.0,1697673752
BND,1.371666,1697673752
BOB,6.919089,1697673752
BRL,5.041901,1697673752
BSD,1.0,1697673752
BTN,83.304064,1697673752
BWP,13.672734,1697673752
BYN,3.293922,1697673752
BZD,2.0,1697673752
CAD,1.368565,1697673752
CDF,2480.871907,1697673752
CHF,0.898876,1697673752
CLP,936.837721,1697673752
CNY,7.320082,1697673752
COP,4207.433033,1697673752
CRC,531.374835,1697673752
CUP,24.0,1697673752
CVE,104.604722,1697673752
CZK,23.395183,1697673752
DJF,177.721,1697673752
DKK,7.078449,1697673752
DOP,56.716263,1697673752
DZD,137.574924,1697673752
EGP,30.915521,1697673752
ERN,15.0,1697673752
ETB,55.767947,1697673752
EUR,0.948243,1697673752
FJD,2.275488,1697673752
FKP,0.822544,1697673752
FOK,7.077413,1697673752
GBP,0.822675,1697673752
GEL,2.69159,1697673752
GGP,0.822544,1697673752
GHS,11.852212,1697673752
GIP,0.822544,1697673752
GMD,65.769464,1697673752
GNF,8574.387453,1697673752
GTQ,7.839059,1697673752
GYD,209.347807,1697673752
HKD,7.828655,1697673752
HNL,24.666773,1697673752
HRK,7.147728,1697673752
HTG,133.867014,1697673752
HUF,363.973223,1697673752
IDR,15762.607637,1697673752
ILS,4.026915,1697673752
IMP,0.822544,1697673752
INR,83.304092,1697673752
IQD,1308.529283,1697673752
IRR,41953.423619,1697673752
ISK,138.467783,1697673752
JEP,0.822544,1697673752
JMD,155.681463,1697673752
JOD,0.709,1697673752
JPY,149.79352,1697673752
KES,149.690588,1697673752
KGS,89.01369,1697673752
KHR,4120.382646,1697673752
KID,1.575776,1697673752
KMF,466.713369,1697673752
KRW,1353.243973,1697673752
KWD,0.309253,1697673752
KYD,0.833333,1697673752
KZT,478.399715,1697673752
LAK,20608.11298,1697673752
LBP,15000.0,1697673752
LKR,324.317545,1697673752
LRD,190.091919,1697673752
LSL,18.964592,1697673752
LYD,4.891512,1697673752
MAD,10.263753,1697673752
MDL,18.182532,1697673752
MGA,4530.241822,1697673752
MKD,58.17717,1697673752
MMK,2098.68932,1697673752
MNT,3472.23341,1697673752
MOP,8.063514,1697673752
MRU,38.407209,1697673752
MUR,44.266374,1697673752
MVR,15.443812,1697673752
MWK,1163.687083,1697673752
MXN,18.241497,1697673752
MYR,4.743728,1697673752
MZN,63.861245,1697673752
NAD,18.964592,1697673752
NGN,765.639668,1697673752
NIO,36.570663,1697673752
NOK,11.038229,1697673752
NPR,133.286502,1697673752
NZD,1.705531,1697673752
OMR,0.384497,1697673752
PAB,1.0,1697673752
PEN,3.844735,1697673752
PGK,3.713674,1697673752
PHP,56.787291,1697673752
PKR,279.274138,1697673752
PLN,4.214858,1697673752
PYG,7399.590453,1697673752
QAR,3.64,1697673752
RON,4.708174,1697673752
RSD,110.794066,1697673752
RUB,97.645032,1697673752
RWF,1239.635051,1697673752
SAR,3.75,1697673752
SBD,8.506683,1697673752
SCR,13.069772,1697673752
SDG,579.547819,1697673752
SEK,11.012462,1697673752
SGD,1.371703,1697673752
SHP,0.822544,1697673752
SLE,22.462467,1697673752
SLL,22462.467244,1697673752
SOS,571.233305,1697673752
SRD,38.167228,1697673752
SSP,1024.337622,1697673752
STN,23.242332,1697673752
SYP,12968.354912,1697673752
SZL,18.964592,1697673752
THB,36.346445,1697673752
TJS,10.936847,1697673752
TMT,3.495049,1697673752
TND,3.174177,1697673752
TOP,2.377608,1697673752
TRY,28.043517,1697673752
TTD,6.770006,1697673752
TVD,1.575776,1697673752
TWD,32.378986,1697673752
TZS,2508.65767,1697673752
UAH,36.563838,1697673752
UGX,3757.844371,1697673752
UYU,39.923269,1697673752
UZS,12183.347355,1697673752
VES,34.8602,1697673752
VND,24539.804662,1697673752
VUV,122.902927,1697673752
WST,2.78107,1697673752
XAF,622.284492,1697673752
XCD,2.7,1697673752
XDR,0.762075,1697673752
XOF,622.284492,1697673752
XPF,113.206282,1697673752
YER,250.163065,1697673752
ZAR,18.964721,1697673752
ZMW,21.578656,1697673752
ZWL,5796.563807,1697673752
